year,dispnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude
1860,2242,"Quito, Ecuador","Quito, Ecuador",-78.4678,-0.180653
1861,135,"Veracruz, Mexico","Veracruz, Mexico",-96.1342,19.1738
1861,225,Bahama Channel,Bahama Channel,-78.4003,22.7672
1861,227,Japan-Russia Border (Territorial Waters),Midpoint of shared (territorial water) border,142.007,45.7095
1861,1501,"Cobija, Bolivia","Cobija, Bolivia",-68.7811,-11.0344
1862,1520,"Ibarra, Ecuador","Ibarra, Ecuador",-78.1222,0.339176
1862,1589,"Humaita, Paraguay","Humaita, Paraguay",-58.5058,-27.0669
1862,1762,"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil",-43.1729,-22.9068
1862,3245,China (Illi Kazakh Autonomous Prefecture [ADM2]),Centroid of ADM2,82.0989,43.4509
1863,13,Japan Territorial Waters,Southernmost point of territorial waters,135.592,34.0405
1863,194,Denmark-Germany Border,Midpoint of shared (national) border,8.98718,54.8973
1863,1502,"Mejillones, Chile","Mejillones, Chile",-70.4455,-23.0985
1863,1519,Colombia-Ecuador Border,Midpoint of shared (national) border,-77.1538,0.343266
1863,1590,Brazil-Paraguay Border,Midpoint of shared (national) border,-55.7422,-22.4135
1864,381,Germany (Schleswing-Holstein [ADM1]),Centroid of ADM1,9.81008,54.1829
1864,502,Germany-Hanover Border,Midpoint of shared (national) border,52.466,10.753
1864,1563,Peru,Centroid of ADM0,-74.3756,-9.16376
1864,2014,Chincha Islands,Chincha Islands,-76.3912,-13.6303
1865,224,Japan,Centroid of Japan,139.272,36.6507
1865,261,AUH-Germany Border,Midpoint of shared (national) border,50.449,12.907
1865,1482,Chile,Centroid of ADM0,-71.374,-37.8525
1865,1800,"Mexico City, Mexico","Mexico City, Mexico",-99.1332,19.4326
1866,509,"Strasbourg, France","Strasbourg, France",7.75211,48.5734
1866,1576,Greece (Thessaly [ADM1]),Centroid of ADM1,22.5402,39.0728
1866,1600,Argentina-Bolivia Border,Midpoint of shared (national) border,-64.6961,-22.178
1866,1714,"Valaparaiso, Chile","Valaparaiso, Chile",-71.6127,-33.0472
1866,2043,"Curupayty, Paraguay","Curupayty, Paraguay",-54.65,-25.3667
1868,1575,"Iraklion, Greece","Iraklion, Greece",25.1442,35.3387
1869,1497,Venezuela,Midpoint of coastline,-63.8722,10.6422
1869,1532,"Puerto Plata, Dominican Republic","Puerto Plata, Dominican Republic",-70.6871,19.7808
1870,88,France-Germany Border,Midpoint of shared (national) border,7.81941,49.0463
1870,220,"Tianjin, China","Tianjin, China",117.362,39.3434
1870,2117,"Teacapan, Mexico","Teacapan, Mexico",-105.737,22.5401
1870,3642,China (Illi Kazakh Autonomous Prefecture [ADM2]),Centroid of ADM2,82.0989,43.4509
1871,2168,"Paris, France","Paris, France",2.35222,48.8566
1871,2169,"Paris, France","Paris, France",2.35222,48.8566
1871,2721,Sakhalin Island,Sakhalin Island,142.951,50.691
1871,3247,China (Illi Kazakh Autonomous Prefecture [ADM2]),Centroid of ADM2,82.0989,43.4509
1872,1503,"Antofagasta, Chile","Antofagasta, Chile",-70.3975,-23.6509
1872,1527,"Asuncion, Paraguay","Asuncion, Paraguay",-57.5759,-25.2637
1872,1632,"Port Au Prince, Haiti","Port Au Prince, Haiti",-72.3074,18.5944
1873,256,"Guantanamo Bay, Cuba","Guantanamo Bay, Cuba",-75.1216,20.0117
1873,1508,Argentina (Santa Cruz [ADM1]),Centroid of ADM1,-69.9414,-48.8127
1873,1547,"El Remolino, Coah., Mexico","El Remolino, Coah., Mexico",-101.082,28.7566
1873,2199,Taiwan,Centroid of ADM0,120.962,23.7511
1874,1489,Taiwan,Centroid of ADM0,120.962,23.7511
1874,1526,Chaco Boreal,Chaco Boreal,-60,-23
1875,1545,"Las Cuevas, Trinidad and Tobago","Las Cuevas, Trinidad and Tobago",-61.3888,10.7838
1875,2044,Chaco Boreal,Chaco Boreal,-60,-23
1875,2200,"Ryukyu Islands, Japan","Ryukyu Islands, Japan",128,26.5
1875,2320,Peru (Yunguyo [ADM2]),Centroid of ADM2,-69.0746,-16.2952
1876,187,Balkan Peninsula,Balkan Peninsula,21.0937,41.8101
1876,1533,El Salvador-Guatemala Border,Midpoint of shared (national) border,-89.709,14.1462
1876,1544,Mexico-United States (Texas [ADM1]) Border,Midpoint of shared (subnational) border,-101.37,29.6701
1876,1633,"Rio Negro, Chile","Rio Negro, Chile",-73.2333,-40.7833
1876,1750,"Besika Bay, Turkey","Besika Bay, Turkey",26.4,40.2
1876,2045,El Salvador Territorial Waters,Centroid of territorial waters,-88.9364,13.2651
1876,3322,Western Black Sea,Western Black Sea,28.78,43.17
1876,3323,"Besika Bay, Turkey","Besika Bay, Turkey",26.4,40.2
1877,307,"Valetta, Malta","Valetta, Malta",14.5146,35.8989
1877,1574,Greece (Thessaly [ADM1]),Centroid of ADM1,22.5402,39.0728
1877,1635,Austria-Italy Border,Midpoint of shared (national) border,12.215,47.0873
1878,1510,Santa Cruz River,Midpoint of river,-70.4387,-50.2216
1878,1518,Bolivia-Chile Border,Midpoint of shared (national) border,-68.7092,-20.3063
1878,1573,Greece (Thessaly [ADM1]),Centroid of ADM1,22.5402,39.0728
1878,2835,Greece (Thessaly [ADM1]),Centroid of ADM1,22.5402,39.0728
1879,1511,"Rio Gallegos, Argentina","Rio Gallegos, Argentina",-69.2168,-51.6231
1879,2201,"Ryukyu Islands, Japan","Ryukyu Islands, Japan",128,26.5
1880,104,China (Illi Kazakh Autonomous Prefecture [ADM2]),Centroid of ADM2,82.0989,43.4509
1880,141,"Dubrovnik, Croatia","Dubrovnik, Croatia",18.0944,42.6507
1880,1543,Rio Grande,Midpoint of river,-63.3188,-18.8199
1880,1763,Argentina-Uruguay Border (Rio de la Plata [Territorial Waters]),Midpoint of shared (territorial water) border,-55.7852,-35.7084
1881,228,"Tunis, Tunisia","Tunis, Tunisia",10.1815,36.8065
1881,506,Vietnam,Centroid of ADM0,106.68,16.4667
1881,1637,Venezuela,Midpoint of coastline,-63.8722,10.6422
1882,507,"Hanoi, Vietnam","Hanoi, Vietnam",105.834,21.0278
1882,1531,"Port Au Prince, Haiti","Port Au Prince, Haiti",-72.3074,18.5944
1882,1571,"Karalli, Turkey","Karalli, Turkey",33.8694,40.2848
1882,2202,"Seoul, South Korea","Seoul, South Korea",126.978,37.5665
1882,3725,Egypt,Centroid of ADM0,29.872,26.4943
1883,65,Danube River,Midpoint of river,22.3676,44.6953
1883,202,"Beijing, China","Beijing, China",116.407,39.9042
1883,1683,"Ile de la Tortue, Haiti","Ile de la Tortue, Haiti",-72.7925,20.0549
1884,1486,"Seoul, South Korea","Seoul, South Korea",126.978,37.5665
1884,1515,Chile-Peru Border,Midpoint of shared (national) border,-69.7861,-18.0145
1884,1516,Bolivia-Peru Border,Midpoint of shared (national) border,-69.1355,-14.5016
1885,119,"Panjdeh, Afghanistan","Panjdeh, Afghanistan",61.5667,31.7333
1885,1488,Korea,Centroid of ADM0,127.463,38.5208
1885,1535,El Salvador-Guatemala Border,Midpoint of shared (national) border,-89.709,14.1462
1885,1764,"Buenaventura, Colombia","Buenaventura, Colombia",-77.0197,3.88305
1885,2170,Benin-Togo Border,Midpoint of shared (national) border,1.62585,8.67489
1885,2836,Greece (Epirus [ADM1]),Centroid of ADM1,21.1384,39.9875
1886,96,Rio-Antirio Bridge,Rio-Antirio Bridge,21.7737,38.3206
1886,1542,"Tampico, Mexico","Tampico, Mexico",-97.8611,22.2331
1886,1639,Guyana-Venezuela Border,Midpoint of shared (national) border,-60.4302,6.93136
1886,2128,Rio Paraguay,"Asuncion, Paraguay",-57.5759,-25.2637
1887,91,"Ankara, Turkey","Ankara, Turkey",32.8597,39.9334
1887,1601,Rio Paraguay,"Asuncion, Paraguay",-57.5759,-25.2637
1887,2369,France-Germany Border,Midpoint of shared (national) border,7.81941,49.0463
1887,3136,Haiti Territorial Waters,Centroid of territorial waters,-73.2248,18.1112
1888,1530,Haiti (Artibonite [ADM1] and Ouest [ADM1]),Centroid of > ADM1,-35.7504,23.9482
1888,1739,Greece (Thessaly [ADM1]),Centroid of ADM1,22.5402,39.0728
1889,9,Mozambique Territorial Waters,Centroid of territorial waters,36.9704,-18.1918
1889,1599,Haiti,Centroid of ADM0,-72.6795,18.9416
1890,1534,El Salvador-Guatemala Border,Midpoint of shared (national) border,-89.709,14.1462
1890,1642,Eritrea-Sudan Border,Midpoint of shared (national) border,36.9388,16.677
1890,2046,Guatemala,Centroid of ADM0,-90.3562,15.7021
1891,1512,"Valaparaiso, Chile","Valaparaiso, Chile",-71.6127,-33.0472
1891,1529,"Port-au-Prince, Haiti","Port-au-Prince, Haiti",-72.3074,18.5944
1891,1643,Chile,Centroid of ADM0,-71.374,-37.8525
1891,2127,"Oriente Forest, Ecuador","Oriente Forest, Ecuador",-77.0104,-0.734
1891,3249,China (Kashgar [ADM2]),Centroid of ADM2,77.2248,38.187
1893,196,"Bangkok, Thailand","Bangkok, Thailand",100.502,13.7563
1893,1541,Mexico-United States (Texas [ADM1]) Border,Midpoint of shared (subnational) border,-101.37,29.6701
1893,1581,"Melilla, Spain","Melilla, Spain",-2.9381,35.2923
1893,1596,"Oriente, Ecuador","Oriente, Ecuador",-77,-2
1893,2300,"Waima, Sierra Leone","Waima, Sierra Leone",-10.7824,8.63737
1894,1490,Peru,Centroid of ADM0,-74.3756,-9.16376
1895,14,Constantinople,"Istanbul, Turkey",28.9784,41.0082
1895,106,Japan (Hokkaido)-Russia (Sakhalin) Border (Territorial Waters),Midpoint of shared (territorial water) border,142.007,45.7095
1895,1644,Dominican Republic,Midpoint of coastline,-68.5066,18.7553
1895,1645,Ilhe de Trindade,Ilhe de Trindade,-29.3308,-20.5081
1895,1646,Brazil (Amapa [ADM1]),Centroid of ADM1,-51.961,1.44004
1895,3232,Caribbean Sea,Caribbean Sea,-74.9676,14.5401
1896,152,Benin-Nigeria Border,Midpoint of shared (national) border,3.13833,9.21593
1896,1569,"Iraklion, Greece","Iraklion, Greece",25.1442,35.3387
1896,1647,Brazil (Amapa [ADM1]),Centroid of ADM1,-51.961,1.44004
1896,1648,"Port Au Prince, Haiti","Port Au Prince, Haiti",-72.3074,18.5944
1896,2343,"Puerto Cabello, Venezuela","Puerto Cabello, Venezuela",-68.0299,10.4698
1896,2837,Greece,Midpoint of coastline,23.1314,37.79
1897,16,Japan-South Korea Border (Territorial Waters),Midpoint of shared (territorial water) border,129.143,34.7672
1897,43,"Jiaozhou, China","Jiaozhou, China",120.006,36.2859
1897,56,Aegean Sea,Aegean Sea,25.2686,39.0192
1897,1513,"Puna de Atacama, Argentina","Puna de Atacama, Argentina",-67,-25
1897,1649,"Lourenco Marques, Mozambique","Lourenco Marques, Mozambique",32.6051,-25.892
1898,77,"Kodok, Sudan","Kodok, Sudan",32.1093,9.89407
1898,309,China Territorial Waters,Centroid of territorial waters,120.175,25.5996
1898,378,China (Illi Kazakh Autonomous Prefecture [ADM2]),Centroid of ADM2,82.0989,43.4509
1898,379,"Kwangchow Wan, China","Kwangchow Wan, China",113.245,23.1448
1898,1557,"Havana, Cuba","Havana, Cuba",-82.3666,23.1136
1899,131,North Korea-Russia Border (Territorial Waters),Midpoint of shared (territorial water) border,130.792,42.2199
1899,237,Delagoa Bay,Delagoa Bay,32.7633,-26.0828
1899,511,China (Zhejiang [ADM1]),Centroid of ADM1,120.089,29.1795
1899,1597,"Amazon Basin, Brazil","Amazon Basin, Brazil",-61.6784,-1.6566
1900,31,Manuchurian Empire,Centroid of ADM0,105.7,37.33
1900,68,Dominican Republic,Midpoint of coastline,-68.5066,18.7553
1900,1093,Sena Ultima Esperanza,Sena Ultima Esperanza,-73.103,-51.475
1900,1174,Colombia-Venezuela Border,Midpoint of shared (national) border,-69.9777,6.80034
1900,3250,"Harbin, China","Harbin, China",126.535,45.8038
1901,1120,"Rio Bachelor, Chile","Rio Bachelor, Chile",-72.3097,-53.5603
1901,1145,"Oriente, Peru","Oriente, Peru",-80.6808,-4.87778
1901,2338,"Caracas, Venezuela","Caracas, Venezuela",-66.9036,10.4806
1902,2,Canada-United States (Alaska [ADM1]) Border,Midpoint of shared (subnational) border,-138.67,59.8283
1902,254,Venezuela,Midpoint of coastline,-63.8722,10.6422
1902,1163,Purus River,Midpoint of river,-65.9797,-7.68151
1902,1178,Brazil (Acre [ADM1]),Centroid of ADM1,-70.4467,-9.30992
1902,2342,Colombia-Venezuela Border,Midpoint of shared (national) border,-69.9777,6.80034
1902,3325,Dardanelles Strait,Dardanelles Strait,26.3013,40.0482
1903,159,"Panama City, Panama","Panama City, Panama",-79.5199,8.98238
1903,180,"Lvshunkou, China","Lvshunkou, China",121.262,38.8517
1903,2005,Brazil (Acre [ADM1]),Centroid of ADM1,-70.4467,-9.30992
1903,3301,Canada-United States (Alaska [ADM1]) Border,Midpoint of shared (subnational) border,-138.67,59.8283
1903,3645,"Harbin, China","Harbin, China",126.535,45.8038
1904,109,Austria-Italy Border,Midpoint of shared (national) border,12.215,47.0873
1904,164,Morocco,Midpoint of coastline,-8.34876,33.3276
1904,242,Dogger Bank,Dogger Bank,3,55
1905,128,Ottoman Empire,Midpoint of coastline,27.06,38.39
1905,247,Dominican Republic Territorial Waters,Centroid of territorial waters,-70.0869,18.1209
1905,310,Caribbean Sea,Caribbean Sea,-74.9676,14.5401
1905,1650,China Territorial Waters,Centroid of territorial waters,120.175,25.5996
1905,2077,Beagle Channel,Beagle Channel,-67.8349,-54.8899
1906,156,"Taba, Egypt","Taba, Egypt",34.8969,29.4925
1906,1179,Pilcomayo River,Midpoint of river,-62.6244,-22.2771
1906,1205,El Salvador-Guatemala Border,Midpoint of shared (national) border,-89.709,14.1462
1906,2321,"Puerto Heath, Bolivia","Puerto Heath, Bolivia",-68.6384,-12.5071
1907,86,Morocco,Midpoint of coastline,-8.34876,33.3276
1907,1094,"Isla de Martin Garcia, Argentina","Isla de Martin Garcia, Argentina",-58.2491,-34.1825
1907,1160,Rio Putumayo,Midpoint of river,-72.9506,-2.40738
1907,1202,Honduras-Nicaragua Border,Midpoint of shared (national) border,-85.4934,14.082
1907,2203,"Harbin, China","Harbin, China",126.535,45.8038
1907,3132,Iran (Northwest [> ADM1]),Centroid of > ADM1,46.879,35.8777
1908,30,"Sarajevo, Bosnia","Sarajevo, Bosnia",18.4131,43.8563
1908,166,Iran (Northern [> ADM1]),Centroid of > ADM1,52.376,36.1117
1908,311,"Tripoli, Libya","Tripoli, Libya",13.1913,32.8872
1908,1063,Curacao,Curacao,-68.99,12.1696
1908,1274,"Sofia, Bulgaria","Sofia, Bulgaria",23.3219,42.6977
1909,95,"Port-au-Prince, Haiti","Port-au-Prince, Haiti",-72.3074,18.5944
1909,1086,Morocco (Northern [> ADM 1]),Centroid of > ADM1,-5.2002,32.9735
1909,1249,Karpathios and Crete Islands,Midpoint of shortest distance between islands,26.7164,35.3578
1909,2078,Beagle Channel,Beagle Channel,-67.8349,-54.8899
1909,2204,China (Jilin [ADM1]),Centroid of ADM1,126.194,43.6644
1909,3133,Iran (Northern [> ADM1]),Centroid of > ADM1,52.376,36.1117
1910,249,Nicaragua (eastern) Territorial Waters,Centroid of territorial waters,-83.0714,11.8735
1910,312,"Tripoli, Libya","Tripoli, Libya",13.1913,32.8872
1910,313,Iran (Southern [> ADM1]),Centroid of > ADM1,57.0465,28.6641
1910,1147,"Oriente Forest, Ecuador","Oriente Forest, Ecuador",-77.0104,-0.734
1910,1180,Bolivia (Manuripi [ADM2]),Centroid of ADM2,-68.0045,-11.5389
1911,114,"Tripoli, Libya","Tripoli, Libya",13.1913,32.8872
1911,165,Iran (Northern [> ADM1]),Centroid of > ADM1,52.376,36.1117
1911,314,Albania Territorial Waters,Centroid of territorial waters,19.34,40.8251
1911,315,France-Germany Border,Midpoint of shared (national) border,7.81941,49.0463
1911,1087,Morocco (Northern [> ADM 1]),Centroid of > ADM1,-5.2002,32.9735
1911,1161,Cagueta/Yapura River,Midpoint of river,-70.698,-1.37853
1911,1181,Chile-Peru Border,Midpoint of shared (national) border,-69.7861,-18.0145
1911,1653,Mexico-United States Border,Midpoint of shared (national) border,-105.809,31.2332
1911,1734,Guatemala,Centroid of ADM0,-90.3562,15.7021
1911,1771,"Oslo, Norway","Oslo, Norway",10.7522,59.9139
1911,1772,Red Sea,Red Sea,38.5126,20.2802
1911,2047,Argentina-Paraguay Border,Midpoint of shared (national) border,-58.0107,-26.1068
1911,2126,"Pocitas, Peru","Pocitas, Peru",-81.0726,-4.11128
1911,2234,Haiti,Centroid of ADM0,-72.6795,18.9416
1911,3139,"Rabat, Morocco","Rabat, Morocco",-6.84981,33.9716
1911,3330,Morocco Territorial Waters,Centroid of Mediterranean territorial waters,-3.71275,35.3937
1912,21,AUH-Serbia Border,Midpoint of shared (national) border,19,45.89
1912,316,"Tunis, Tunisia","Tunis, Tunisia",10.1815,36.8065
1912,317,Bulgaria,Centroid of ADM0,25.2315,42.7614
1912,1095,Rio Paraguay,"Asuncion, Paraguay",-57.5759,-25.2637
1912,1148,"Oriente, Ecuador","Oriente, Ecuador",-77,-2
1912,1207,Dominican Republic-Haiti Border,Midpoint of shared (national) border,-71.7183,18.7414
1912,1250,Bulgaria-Turkey Border,Midpoint of shared (national) border,27.1055,42.0943
1912,1598,"Puerto Pizarro, Peru","Puerto Pizarro, Peru",-80.3909,-3.50371
1912,3254,"Manzhouli, China","Manzhouli, China",117.379,49.5978
1912,3255,China (Illi Kazakh Autonomous Prefecture [ADM2]),Centroid of ADM2,82.0989,43.4509
1913,3,Austria-Yugoslavia Border,Midpoint of shared (national) border,14.911,46.6223
1913,136,"Veracruz, Mexico","Veracruz, Mexico",-96.1342,19.1738
1913,238,"Puerto Barrios, Guatemala","Puerto Barrios, Guatemala",-88.5855,15.6954
1913,1196,"Isla de Providencia, Colombia","Isla de Providencia, Colombia",-81.3729,13.3388
1913,1251,Bulgaria-Yugoslavia Border,Midpoint of shared (national) border,22.5318,42.8794
1913,2311,"Belize City, Belize","Belize City, Belize",-88.1962,17.5046
1913,2312,"Veracruz, Mexico","Veracruz, Mexico",-96.1342,19.1738
1913,2313,"Veracruz, Mexico","Veracruz, Mexico",-96.1342,19.1738
1914,69,"Puerto Plata, Dominican Republic","Puerto Plata, Dominican Republic",-70.6871,19.7808
1914,100,"Port-au-Prince, Haiti","Port-au-Prince, Haiti",-72.3074,18.5944
1914,257,AUH-Serbia Border,Midpoint of shared (national) border,19.54,46.08
1914,260,China (Shandong [ADM1]),Centroid of ADM1,118.151,36.352
1914,320,"Leuven, Belgium","Leuven, Belgium",4.70052,50.8798
1914,394,"Tirana, Albania","Tirana, Albania",19.8187,41.3275
1914,397,Bulgaria-Yugoslavia Border,Midpoint of shared (national) border,22.5318,42.8794
1914,1131,Iran (Northwest [> ADM1]),Centroid of > ADM1,46.879,35.8777
1914,1654,North Sea,North Sea,3.51563,56.511
1914,1661,North Sea,North Sea,3.51563,56.511
1914,1725,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994
1914,1773,"Luanda, Angola","Luanda, Angola",13.2894,-8.83999
1914,1774,Germany coastline (Eastern),Midpoint of coastline,12.1614,54.2144
1914,3258,Russia (Tuva [ADM1]),Centroid of ADM1,94.793,51.5914
1914,3341,Bodensee Obersee,Bodensee Obersee,9.42491,47.5937
1914,3343,Bulgaria-Greece Border,Midpoint of shared (national) border,24.8234,41.4042
1914,3344,Greece-Turkey Border,Midpoint of shared (national) border,26.3871,41.2561
1915,324,Greece (Crete [ADM1]),Centroid of ADM1,24.8447,35.2293
1915,398,North Sea,North Sea,3.51563,56.511
1915,1656,North Sea,North Sea,3.51563,56.511
1915,1732,North Sea,North Sea,3.51563,56.511
1915,1775,Mexico-United States Border,Midpoint of shared (national) border,-105.809,31.2332
1915,2645,North Sea,North Sea,3.51563,56.511
1915,3349,Spain Territorial Waters (Northern),Centroid of territorial waters,-5.67425,43.7252
1915,3352,Maritza River,Midpoint of river,25.8939,42.0029
1916,321,Mexico-United States Border,Midpoint of shared (national) border,-105.809,31.2332
1916,322,"Santo Domingo, Dominican Republic","Santo Domingo, Dominican Republic",-69.9312,18.4861
